obat,kategori_demand,metode_terbaik,WAPE_test,parameter,ABC,VEN,AMC,safety_stock,Min,Max,stok_terkini,status,perlu_pesan,skor,kritis
TUSELIX (TRIPROLIDIN =~ PSEUDOEFEDRIN) TAB,data tidak cukup,aturan stok,,-,B,E,51.3,281,333,500,374.0,aman,0.0,4,False
URINTER TABLET,intermittent,Croston,40.048423040766586,"az=0.05,ap=0.65",B,E,25.8,40,66,108,290.0,aman,0.0,4,False
"Verban elastis 10cm x 4,5m",intermittent,SBA,193.84859502095134,"az=0.05,ap=0.95",C,V,1.6,4,6,9,13.0,aman,0.0,4,False
ZINK TABLET,lumpy,-,,-,C,V,9.2,46,55,83,190.0,aman,0.0,4,False
PARACETAMOL 500MG TABLET,data tidak cukup,aturan stok,,-,C,V,0.0,0,0,0,,stok tak diketahui,,4,False
ACITRAL TAB,data tidak cukup,aturan stok,,-,C,E,11.7,44,55,85,180.0,aman,0.0,3,False
ALLOPURINOL TABLET,intermittent,SBA,45.50608277282087,"az=0.95,ap=0.5",C,E,13.8,27,41,65,565.0,aman,0.0,3,False
AMBROXOL SIRUP,data tidak cukup,aturan stok,,-,C,E,3.0,0,3,6,28.0,aman,0.0,3,False
AMOXCICILIN SIRUP,intermittent,SBA,42.23263912933234,"az=0.3,ap=0.95",C,E,2.0,3,5,8,12.0,aman,0.0,3,False
ANTASIDA TABLET,data tidak cukup,aturan stok,,-,C,E,20.4,112,133,199,1155.0,aman,0.0,3,False
ANTRAIN TAB (METAMIZOLE SODIUM),data tidak cukup,aturan stok,,-,C,E,3.3,16,19,29,150.0,aman,0.0,3,False
BETADINE KUMUR,data tidak cukup,aturan stok,,-,C,E,0.0,0,0,0,10.0,aman,0.0,3,False
CAIRAN INFUS RINGER LAKTAT 500ML,intermittent,-,,-,C,E,1.8,5,7,10,21.0,aman,0.0,3,False
CEFADROXIL 250MG SIRUP,data tidak cukup,aturan stok,,-,C,E,0.1,1,1,1,8.0,aman,0.0,3,False
CEFIXIME SIRUP,intermittent,Croston,38.943748259334455,"az=0.05,ap=0.95",C,E,2.1,4,6,9,13.0,aman,0.0,3,False
CENDOXITROL TETES MATA STERIL,intermittent,-,,-,C,E,1.6,3,4,7,12.0,aman,0.0,3,False
CETIRIZINE SIRUP,data tidak cukup,aturan stok,,-,C,E,1.2,6,7,11,8.0,aman,0.0,3,False
DULCOLAX 5MG TABLET,intermittent,-,,-,C,E,4.8,16,21,33,50.0,aman,0.0,3,False
Disposible syringe 3cc,data tidak cukup,aturan stok,,-,C,E,0.0,0,0,0,300.0,aman,0.0,3,False
ERYTHROMYCIN 500 MG TABLET,lumpy,-,,-,C,E,14.2,47,61,95,399.0,aman,0.0,3,False
EXTROPECT (AMBROXOL) SIRUP,data tidak cukup,aturan stok,,-,C,E,0.2,2,2,3,28.0,aman,0.0,3,False
Erlamycetin Saleb Mata,data tidak cukup,aturan stok,,-,C,E,0.8,3,3,5,20.0,aman,0.0,3,False
FLUTAMOL TABLET,lumpy,-,,-,C,E,10.8,55,66,99,570.0,aman,0.0,3,False
Gencinolon,data tidak cukup,aturan stok,,-,C,E,0.0,0,0,0,18.0,aman,0.0,3,False
IBUPROFEN 400MG TABLET,lumpy,-,,-,B,N,72.2,138,211,340,300.0,aman,0.0,3,False
"ILIADIN SPRAY 0,05%",data tidak cukup,aturan stok,,-,C,E,0.1,1,1,1,2.0,aman,0.0,3,False
IMBOOST TABLET,data tidak cukup,aturan stok,,-,C,E,93.0,218,311,493,375.0,aman,0.0,3,False
Infuset Dewasa,data tidak cukup,aturan stok,,-,C,E,0.5,3,3,5,21.0,aman,0.0,3,False
KALBION TAB,data tidak cukup,aturan stok,,-,C,E,0.0,0,0,0,300.0,aman,0.0,3,False
KENALOG SALEP,intermittent,Croston,100.0,"az=0.95,ap=0.05",C,E,1.2,3,4,6,8.0,aman,0.0,3,False
